titles,dates,creators,contributors,descriptions,coverage,subjects,types,formats,identifiers,languages,publishers,relations,rights,sources,,,,,,,,,,,
Religion Without God,5/5/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on May 5, 1935",,Matthew 20:16,Text,,ist0061,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Three Tributes (A Mothers' Day Sermon),,"Potthoff, Harvey",,A Mothers' Day Sermon,,1 Corinthians 13:13,Text,,ist0062,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
By Bread Alone,6/16/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on June 16, 1935",,Luke 4:4,Text,,ist0063,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Christian's Creed,8/4/35,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on August 4, 1935",,,Text,,ist0064,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Building a Life,10/22/35,"Potthoff, Harvey",,"Sermon delivered on October 22, 1935",,Luke 6:47-49,Text,,ist0065,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Quest for Life,10/29/35,"Potthoff, Harvey",,"Sermon delivered in Argo, Colorado on October 29, 1935",,John 10:10,Text,,ist0066,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Controlling Life From Within,1/10/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 10, 1936",,,Text,,ist0067,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Being Religious in Our Own Way,11/29/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on November 29, 1936",,,Text,,ist0068,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
God in Modern Thought,1/26/36,"Potthoff, Harvey",,"Sermon delivered in Cambridge, Massachusetts at First Unitarian Church on January 26, 1936",,,Text,,ist0069,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Sermonette at Salem Church,6/14/36,"Potthoff, Harvey",,"Sermon delivered in Newport, Kentucky at Salem Church on June 14, 1936",,,Text,,ist0070,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Perspective of God,6/28/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on June 28, 1936",,,Text,,ist0071,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Our Unconscious Influence,7/12/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on July 12, 1936",,,Text,,ist0072,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Religion of One's Own,7/19/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on July 19, 1936",,,Text,,ist0073,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Giving Ourselves to the World,7/26/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on July 26, 1936",,,Text,,ist0074,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
To God through Service,8/30/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on August 30, 1936",,,Text,,ist0075,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
God Is Still at Work!,9/6/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 6, 1936",,,Text,,ist0076,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Our God Goes Marching On!,9/13/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 13, 1936",,,Text,,ist0077,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Being Worthy of One's Tradition,9/20/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 20, 1936",,,Text,,ist0078,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Fellowship of Faith,9/27/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on September 27, 1936",,,Text,,ist0079,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Church in Modern Life,10/4/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 4, 1936",,,Text,,ist0080,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Faith to Live By,10/11/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 11, 1936",,,Text,,ist0081,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Climbing on Top of Our Troubles,10/18/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 18, 1936",,,Text,,ist0082,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Dealing with Discouragement,8/2/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on August 2, 1936",,,Text,,ist0083,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
When God Seems Far Away,8/9/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on August 2, 1936",,,Text,,ist0084,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Climbing on Top of Our Troubles,10/18/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on October 18, 1936",,,Text,,ist0085,en-US,Iliff School of Theology,IsVersionOf ist0082,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Rethinking the Bible,12/6/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 6, 1936",,,Text,,ist0086,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Resolved: To Live!,12/27/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 27, 1936",,,Text,,ist0087,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
New Year's Eve Meditation,12/31/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 31, 1936",,,Text,,ist0088,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
New Year's Eve Meditation,12/31/36,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on December 31, 1936",,,Text,,ist0089,en-US,Iliff School of Theology,IsVersionOf ist0088,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
What Are You Standing For?,1/3/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 3, 1937",,,Text,,ist0090,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Controlling Life from Within,1/10/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 10, 1937",,,Text,,ist0091,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Return to Religion,1/17/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 17, 1937",,,Text,,ist0092,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Why Not Be Good without Religion?,1/24/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 24, 1937",,,Text,,ist0093,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Religion in the Home,1/31/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on January 31, 1937",,,Text,,ist0094,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
What Is Our Duty to God?,2/7/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 7, 1937",,,Text,,ist0095,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
What Is the Religious Approach to Life?,2/14/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 14, 1937",,,Text,,ist0096,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Creed of a Religious Person,2/14/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at University Park Church on February 14, 1937",,,Text,,ist0097,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
What and Where is God?,2/21/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on February 21, 1937",,,Text,,ist0098,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
How Can We Cooperate with God?,3/7/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 7, 1937",,,Text,,ist0099,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Jesus - The Man,3/17/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 17, 1937",,,Text,,ist0100,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
King for a Day,3/21/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 21, 1937",,,Text,,ist0101,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Gethsemane,3/25/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 25, 1937",,,Text,,ist0102,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Meaning of the Cross,3/26/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 26, 1937",,,Text,,ist0103,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
The Meaning of Easter,3/28/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on March 28, 1937",,,Text,,ist0104,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Some Lost Horizons,4/4/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 4, 1937",,,Text,,ist0105,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
Glimpses of God,4/11/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 11, 1937; Denver, Colorado at Epworth Church on May 12, 1937",,,Text,,ist0106,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
A Sensible Way of Life,4/18/37,"Potthoff, Harvey",,"Sermon delivered in Denver, Colorado at Christ Church on April 18, 1937; Morgan, Minnesota on August 2, 1937",,,Text,,ist0107,en-US,Iliff School of Theology,,"No commercial reproduction or distribution of this material is permitted without the permission of the Margaret E. Scheve Archives at the Iliff School of Theology (contact support@iliff.edu). This material may be freely used for educational purposes, provided it is not altered in any way. Cite Margaret E. Scheve Archives at the Iliff School of Theology.",Harvey Potthoff Collection,,,,,,,,,,,
